amplitude,wave_number,p_derivation,height,thickness,grouser_num,wheel_rad,wheel_width,slope,wheel_mass,test_num,time,energy,force_x,force_y,slip,runtime,efficiency,z_advance,steer_slip,success
0.011936,2,-0.232043,0.0475097,0.0173675,19,0.472325,0.424339,7.08489,67.5927,42,2.31,195.905,0.309647,0.221259922381493,0.155532,1228.7,0.338669,0.100058,0.0946929,1
0.0278737,3,-0.0968365,0.0129484,0.023646,31,0.33774,0.498397,6.87984,69.7478,43,3.67,198.388,0.141524,0.115005582118273,0.187932,1459.64,0.345435,0.100157,0.102867,1
0.0154197,4,-0.285033,0.00697589,0.018429,25,0.158904,0.471454,7.71165,45.2728,44,12.2902,281.164,0.128136,0.0607320665689755,0.542788,3283.63,0.158059,0.100063,0.261973,1
0.00712626,4,0.0704749,0.0341774,0.0205969,11,0.232875,0.242896,14.1639,22.4232,45,2.79,63.7969,0.111154,0.122970878894216,0.347085,1166.57,0.345684,0.100256,0.0746912,1
0.0262637,3,0.172151,0.014116,0.0249976,13,0.475005,0.257386,13.5705,127.067,46,3.5,913.791,-0.417691,0.134621202470765,0.708945,1533.47,0.136569,0.100115,0.121947,1
0.0079803,4,-0.0195814,0.0478451,0.0248334,12,0.33326,0.402469,12.0878,44.7004,48,1.92,99.8872,-0.042475,0.130181933620427,0.180372,1025.99,0.441084,0.100473,0.0341632,1
0.0119732,3,0.243613,0.0112858,0.0204686,22,0.403258,0.134939,12.5876,45.2683,49,2.47,197.643,-0.132453,0.243590135149425,0.497838,1200.02,0.225094,0.10018,0.107364,1
0.00275865,1,-0.116465,0.0653879,0.017,27,0.152046,0.358227,14.9697,109.269,50,6.94006,737.084,0.0477607,0.0927715456946029,0.679018,2166.83,0.145562,0.100092,0.211772,1
0.0297866,4,-0.0248798,0.0260171,0.0232914,26,0.207737,0.269016,5.57135,119.367,51,17.4203,1889.42,-0.452106,0.0787284936193364,0.683763,4724.61,0.0619864,0.100016,0.361218,1
0.0278919,4,-0.118879,0.0665013,0.0147033,20,0.490322,0.140334,7.54305,112.282,52,2.31,426.461,-0.232795,0.210982174432981,0.256667,1226.6,0.259341,0.100409,0.137929,1
0.0298198,4,0.112703,0.0472604,0.0131815,11,0.217344,0.439409,14.0534,116.464,53,3.96,514.601,-0.00516264,0.12981834831576,0.546669,1501.64,0.222324,0.100137,0.142973,1
0.00301549,3,0.202856,0.00818726,0.0102437,24,0.17983,0.356924,10.8558,40.2673,54,7.57008,220.253,-0.0806815,0.0812263182779547,0.616218,2291.69,0.17946,0.100062,0.194565,1
0.0280568,4,-0.24504,0.00724944,0.0199458,31,0.321589,0.204643,9.17695,83.2044,55,6.23005,602.456,-1.65253e-05,0.112949311750063,0.616788,2138.92,0.13571,0.100166,0.250757,1
0.0265955,1,0.262932,0.0106827,0.0178168,31,0.399485,0.249757,5.62103,108.364,56,3.71,541.85,0.349449,0.132504481159151,0.255234,1570.25,0.196564,0.100191,0.113874,1
0.0184146,1,0.0151415,0.056631,0.013529,17,0.182169,0.390176,14.2868,22.2388,57,3,66.9915,0.105733,0.130293626642598,0.301081,1214.34,0.325992,0.100103,0.035165,1
0.0111886,4,-0.0772618,0.0720754,0.0233712,27,0.491576,0.286726,6.16286,36.4847,59,2.4,122.904,0.144286,0.229861339639592,0.138608,1248.07,0.291439,0.100077,0.0640891,1
0.0121347,1,-0.261587,0.047763,0.0169355,27,0.460615,0.428081,13.9152,76.237,60,1.4,179.418,0.0753761,0.203293295224264,0.266331,962.888,0.418757,0.10046,0.0911486,1
0.00262985,3,-0.229076,0.079056,0.0154296,14,0.42349,0.491793,12.4805,125.052,61,1.48,292.204,0.157539,0.143189362888647,0.220519,968.928,0.4208,0.100231,0.0907959,1
0.0255211,3,-0.138123,0.0215456,0.0225705,25,0.175698,0.358501,9.4329,44.2064,62,8.92011,268.264,0.0678061,0.0811068855431895,0.56624,2581.03,0.161757,0.100062,0.181756,1
0.0126917,3,-0.00586322,0.0461739,0.0103072,21,0.35355,0.352804,7.48394,130.243,63,2.9,407.928,0.0840864,0.139984553142541,0.170793,1297.79,0.313706,0.100157,0.0556968,1
0.0057571,4,-0.164651,0.0372037,0.0221159,27,0.450712,0.437674,7.37098,39.576,64,2.32,100.74,0.0531719,0.186222428692149,0.138602,1189.77,0.385682,0.100076,0.0591709,1
0.0110824,1,0.226935,0.0756905,0.0131822,24,0.380354,0.270876,10.6106,77.9542,65,1.57,197.959,0.54258,0.185868044304046,0.135338,1009.15,0.387358,0.100272,0.026918,1
0.0115548,4,-0.010366,0.00852584,0.0137838,8,0.29719,0.286764,10.536,80.0367,66,12.2002,982.192,0.0987887,0.0714000943402586,0.816651,3615.16,0.0799681,0.100036,0.247908,1
0.0097308,1,-0.220507,0.0406534,0.0171454,16,0.425373,0.265893,5.6219,124.967,67,3.59,495.879,-0.304824,0.158613943398081,0.235115,1550.45,0.247938,0.100289,0.160305,1
0.00315454,1,0.000499711,0.0217561,0.0171669,18,0.221015,0.246989,14.7167,41.5658,68,4.32,171.782,0.277316,0.109363953150754,0.530014,1526.27,0.237883,0.100216,0.0848467,1
0.0225579,2,-0.26307,0.0193422,0.0116434,32,0.210951,0.361968,13.442,96.7211,69,8.23009,714.29,0.169073,0.100000527911104,0.716169,2481.66,0.132893,0.100043,0.277886,1
0.0217027,2,-0.204632,0.0474547,0.0219872,16,0.423241,0.208608,12.8249,42.1449,70,1.58,101.413,-0.0108856,0.232607774523944,0.238688,960.363,0.409891,0.100542,0.0916348,1
0.0144682,3,-0.0998216,0.0139674,0.013415,16,0.402015,0.17914,11.5038,112.642,71,5.75004,1040.3,0.351739,0.115894037637504,0.737787,2079.41,0.106291,0.100066,0.214934,1
0.0068113,3,-0.117759,0.049154,0.0206724,24,0.274237,0.255708,5.02829,57.2224,72,5.46003,257.786,0.317502,0.130991309434678,0.190894,1896.73,0.218139,0.100175,0.115371,1
