x,y,z,r
0.00,-0.41,0,0.8
-0.33,0.19,0,0.8
0.29,0.19,0,0.8
# volume = 4.2520508
# Ixx, yy, zz = 1.6850426, 1.6375114, 2.1187753
# roughly 1.6 in height and 2.2 in length
