x,y,z,r
-0.7405,0.4442,0,0.5000
-0.0105,0.4442,0,0.5000
0.7295,0.4542,0,0.5000
-0.3605,-0.1958,0,0.5000
0.3695,-0.2058,0,0.5000
-0.0005,-0.8958,0,0.5000
# volume = 2.7564385
# Ixx, yy, zz = 1.0352626, 0.9616627, 1.6978352
# roughly 2.47 in height and 2.35 in length
