x,y,z
0.058374,-0.095,-0.038634
0.063384,-0.095,-0.029723
0.067034,-0.095,-0.020179
0.069254,-0.095,-0.010205
0.080004,-0.095,-1.6841e-07
0.079374,-0.095,0.010026
0.077494,-0.095,0.019895
0.074384,-0.095,0.029449
0.070114,-0.095,0.038539
0.064724,-0.095,0.047022
0.058324,-0.095,0.054762
0.051004,-0.095,0.06164
0.042874,-0.095,0.067545
0.034064,-0.095,0.072385
0.024724,-0.095,0.076084
0.014994,-0.095,0.078582
0.0050344,-0.095,0.079842
-0.0050156,-0.095,0.079842
-0.014986,-0.095,0.078584
-0.024716,-0.095,0.076086
-0.034056,-0.095,0.072388
-0.042856,-0.095,0.067549
-0.050986,-0.095,0.061644
-0.058306,-0.095,0.054768
-0.064716,-0.095,0.047028
-0.070096,-0.095,0.038546
-0.074376,-0.095,0.029456
-0.077476,-0.095,0.019902
-0.079366,-0.095,0.010034
-0.079996,-0.095,6.8316e-06
-0.079366,-0.095,-0.010019
-0.077486,-0.095,-0.019887
-0.074386,-0.095,-0.029442
-0.070106,-0.095,-0.038533
-0.064726,-0.095,-0.047016
-0.058316,-0.095,-0.054757
-0.050996,-0.095,-0.061635
-0.042866,-0.095,-0.067541
-0.034066,-0.095,-0.072382
-0.024726,-0.095,-0.076081
-0.014996,-0.095,-0.078581
-0.0050256,-0.095,-0.079841
0.0050144,-0.095,-0.079843
0.014984,-0.095,-0.078585
0.024714,-0.095,-0.076088
0.034054,-0.095,-0.072391
0.042864,-0.095,-0.067553
0.050984,-0.095,-0.061649
0.058314,-0.095,-0.054773
0.064714,-0.095,-0.047034
0.070104,-0.095,-0.038552
0.074384,-0.095,-0.029463
0.077484,-0.095,-0.019909
0.079374,-0.095,-0.010041
0.090004,-0.095,-1.6841e-07
0.089434,-0.095,0.010077
0.087744,-0.095,0.020026
0.084954,-0.095,0.029724
0.081094,-0.095,0.039048
0.076214,-0.095,0.047882
0.070374,-0.095,0.056113
0.063644,-0.095,0.063638
0.056124,-0.095,0.070363
0.047894,-0.095,0.076204
0.039054,-0.095,0.081086
0.029734,-0.095,0.084948
0.020034,-0.095,0.087743
0.010084,-0.095,0.089434
4.4069e-06,-0.095,0.09
-0.010066,-0.095,0.089435
-0.020016,-0.095,0.087745
-0.029716,-0.095,0.084951
-0.039036,-0.095,0.08109
-0.047876,-0.095,0.076208
-0.056106,-0.095,0.070369
-0.063636,-0.095,0.063644
-0.070356,-0.095,0.056119
-0.076196,-0.095,0.047889
-0.081076,-0.095,0.039056
-0.084946,-0.095,0.029732
-0.087736,-0.095,0.020034
-0.089426,-0.095,0.010085
-0.089996,-0.095,7.8316e-06
-0.089436,-0.095,-0.010068
-0.087746,-0.095,-0.020018
-0.084946,-0.095,-0.029716
-0.081086,-0.095,-0.039041
-0.076206,-0.095,-0.047875
-0.070366,-0.095,-0.056106
-0.063646,-0.095,-0.063632
-0.056116,-0.095,-0.070358
-0.047886,-0.095,-0.076199
-0.039056,-0.095,-0.081082
-0.029736,-0.095,-0.084946
-0.020036,-0.095,-0.087741
-0.010086,-0.095,-0.089433
-5.5931e-06,-0.095,-0.09
0.010064,-0.095,-0.089436
0.020014,-0.095,-0.087746
0.029714,-0.095,-0.084954
0.039044,-0.095,-0.081093
0.047874,-0.095,-0.076213
0.056104,-0.095,-0.070374
0.063634,-0.095,-0.06365
0.070364,-0.095,-0.056126
0.076204,-0.095,-0.047896
0.081084,-0.095,-0.039063
0.084944,-0.095,-0.02974
0.087744,-0.095,-0.020043
0.089434,-0.095,-0.010093
0.1,-0.095,-1.6841e-07
0.099494,-0.095,0.010117
0.097954,-0.095,0.020129
0.095414,-0.095,0.029935
