X,Y,Z,r,absv
-0.755056,-0.425022,-0.483914,0.016,0.130688
-0.705991,-0.437367,-0.484005,0.016,0.101024
-0.713389,-0.425855,-0.483464,0.016,0.101024
-0.701025,-0.425,-0.483877,0.016,0.101024
-0.652044,-0.437361,-0.484008,0.016,0.109144
-0.659458,-0.425858,-0.483482,0.016,0.109144
-0.647096,-0.424986,-0.483893,0.016,0.109144
-0.598066,-0.43737,-0.484006,0.016,0.12758
-0.605415,-0.425826,-0.483466,0.016,0.12758
-0.593049,-0.425023,-0.483906,0.016,0.12758
-0.543995,-0.437376,-0.484007,0.016,0.105184
-0.551431,-0.425888,-0.48346,0.016,0.105184
-0.53907,-0.424992,-0.48388,0.016,0.105184
-0.490025,-0.437402,-0.484004,0.016,0.112698
-0.497505,-0.425942,-0.483468,0.016,0.112698
-0.485149,-0.424998,-0.483913,0.016,0.112698
-0.43604,-0.437373,-0.484008,0.016,0.104528
-0.443463,-0.425876,-0.483478,0.016,0.104528
-0.431101,-0.424994,-0.483882,0.016,0.104528
-0.382089,-0.437442,-0.484005,0.016,0.119169
-0.389571,-0.425984,-0.483465,0.016,0.119169
-0.377215,-0.425037,-0.483906,0.016,0.119169
-0.328078,-0.437368,-0.484004,0.016,0.1343
-0.335407,-0.425812,-0.483465,0.016,0.1343
-0.32304,-0.42503,-0.4839,0.016,0.1343
-0.273996,-0.43737,-0.484006,0.016,0.108841
-0.281396,-0.425859,-0.483462,0.016,0.108841
-0.269033,-0.425001,-0.483888,0.016,0.108841
-0.220028,-0.437363,-0.484009,0.016,0.10243
-0.22746,-0.425872,-0.483489,0.016,0.10243
-0.215098,-0.424981,-0.483879,0.016,0.10243
-0.166047,-0.4374,-0.484003,0.016,0.112234
-0.173527,-0.425941,-0.483471,0.016,0.112234
-0.161171,-0.424996,-0.483923,0.016,0.112234
-0.112041,-0.437389,-0.484002,0.016,0.110258
-0.119498,-0.425915,-0.483469,0.016,0.110258
