X,Y,Z,r,absv
-0.95,-0.4832,-0.47,0.016,0.05
-0.9566,-0.4712,-0.47,0.016,0.05
-0.9442,-0.4712,-0.47,0.016,0.05
-0.896,-0.4832,-0.47,0.016,0.05
-0.9026,-0.4712,-0.47,0.016,0.05
-0.8902,-0.4712,-0.47,0.016,0.05
-0.842,-0.4832,-0.47,0.016,0.05
-0.8486,-0.4712,-0.47,0.016,0.05
-0.8362,-0.4712,-0.47,0.016,0.05
-0.788,-0.4832,-0.47,0.016,0.05
-0.7946,-0.4712,-0.47,0.016,0.05
-0.7822,-0.4712,-0.47,0.016,0.05
-0.734,-0.4832,-0.47,0.016,0.05
-0.7406,-0.4712,-0.47,0.016,0.05
-0.7282,-0.4712,-0.47,0.016,0.05
-0.68,-0.4832,-0.47,0.016,0.05
-0.6866,-0.4712,-0.47,0.016,0.05
-0.6742,-0.4712,-0.47,0.016,0.05
-0.626,-0.4832,-0.47,0.016,0.05
-0.6326,-0.4712,-0.47,0.016,0.05
-0.6202,-0.4712,-0.47,0.016,0.05
-0.572,-0.4832,-0.47,0.016,0.05
-0.5786,-0.4712,-0.47,0.016,0.05
-0.5662,-0.4712,-0.47,0.016,0.05
-0.518,-0.4832,-0.47,0.016,0.05
-0.5246,-0.4712,-0.47,0.016,0.05
-0.5122,-0.4712,-0.47,0.016,0.05
-0.464,-0.4832,-0.47,0.016,0.05
-0.4706,-0.4712,-0.47,0.016,0.05
-0.4582,-0.4712,-0.47,0.016,0.05
-0.41,-0.4832,-0.47,0.016,0.05
-0.4166,-0.4712,-0.47,0.016,0.05
-0.4042,-0.4712,-0.47,0.016,0.05
-0.356,-0.4832,-0.47,0.016,0.05
-0.3626,-0.4712,-0.47,0.016,0.05
-0.3502,-0.4712,-0.47,0.016,0.05
-0.302,-0.4832,-0.47,0.016,0.05
-0.3086,-0.4712,-0.47,0.016,0.05
-0.2962,-0.4712,-0.47,0.016,0.05
-0.248,-0.4832,-0.47,0.016,0.05
-0.2546,-0.4712,-0.47,0.016,0.05
-0.2422,-0.4712,-0.47,0.016,0.05
-0.194,-0.4832,-0.47,0.016,0.05
-0.2006,-0.4712,-0.47,0.016,0.05
-0.1882,-0.4712,-0.47,0.016,0.05
-0.14,-0.4832,-0.47,0.016,0.05
-0.1466,-0.4712,-0.47,0.016,0.05
-0.1342,-0.4712,-0.47,0.016,0.05
-0.086,-0.4832,-0.47,0.016,0.05
-0.0926,-0.4712,-0.47,0.016,0.05
-0.0802,-0.4712,-0.47,0.016,0.05
-0.0319999,-0.4832,-0.47,0.016,0.05
-0.0385999,-0.4712,-0.47,0.016,0.05
-0.0261999,-0.4712,-0.47,0.016,0.05
0.0220001,-0.4832,-0.47,0.016,0.05
0.0154001,-0.4712,-0.47,0.016,0.05
0.0278001,-0.4712,-0.47,0.016,0.05
0.076,-0.4832,-0.47,0.016,0.05
0.0694,-0.4712,-0.47,0.016,0.05
0.0818,-0.4712,-0.47,0.016,0.05
