X,Y,Z,Qw,Qx,Qy,Qz,clump_type
-2.05,2.05,-2.10285714285714,-0,0,-0,0,99
-2.1,2.1,-2.17714285714286,-0,0,-0,0,100
-2.15,2.15,-2.25142857142857,-0,0,-0,0,101
-2.2,2.2,-2.32571428571429,-0,0,-0,0,102
-2.25,2.25,-2.4,-0,0,-0,0,103
-2.3,2.3,-2.47428571428571,-0,0,-0,0,104
-2.35,2.35,-2.54857142857143,-0,0,-0,0,105
-2.4,2.4,-2.62285714285714,-0,0,-0,0,106
-2.45,2.45,-2.69714285714286,-0,0,-0,0,107
-2.5,2.5,-2.77142857142857,-0,0,-0,0,108
-2.55,2.55,-2.84571428571429,-0,0,-0,0,109
-2.6,2.6,-2.92,-0,0,-0,0,110
-2.65,2.65,-2.99428571428571,-0,0,-0,0,111
-2.7,2.7,-3.06857142857143,-0,0,-0,0,112
-2.75,2.75,-3.14285714285714,-0,0,-0,0,113
-2.8,2.8,-3.21714285714286,-0,0,-0,0,114
-2.85,2.85,-3.29142857142857,-0,0,-0,0,115
-2.9,2.9,-3.36571428571429,-0,0,-0,0,116
-2.95,2.95,-3.44,-0,0,-0,0,117
-3,3,-3.51428571428571,-0,0,-0,0,118
-3.05,3.05,-3.58857142857143,-0,0,-0,0,119
-3.1,3.1,-3.66285714285714,-0,0,-0,0,120
-3.15,3.15,-3.73714285714286,-0,0,-0,0,121
-3.2,3.2,-3.81142857142857,-0,0,-0,0,122
-3.25,3.25,-3.88571428571429,-0,0,-0,0,123
-3.3,3.3,-3.96,-0,0,-0,0,124
-3.35,3.35,-4.03428571428571,-0,0,-0,0,125
-3.4,3.4,-4.10857142857143,-0,0,-0,0,126
-3.45,3.45,-4.18285714285714,-0,0,-0,0,127
-3.5,3.5,-4.25714285714286,-0,0,-0,0,128
-3.55,3.55,-4.33142857142857,-0,0,-0,0,129
-3.6,3.6,-4.40571428571429,-0,0,-0,0,130
-3.65,3.65,-4.48,-0,0,-0,0,131
-3.7,3.7,-4.55428571428571,-0,0,-0,0,132
-3.75,3.75,-4.62857142857143,-0,0,-0,0,133
-3.8,3.8,-4.70285714285714,-0,0,-0,0,134
-3.85,3.85,-4.77714285714286,-0,0,-0,0,135
-3.9,3.9,-4.85142857142857,-0,0,-0,0,136
-3.95,3.95,-4.92571428571429,-0,0,-0,0,137
-0.55,-0.55,0.125714285714286,-0,-0,0,0,138
-0.6,-0.6,0.0514285714285714,-0,-0,0,0,139
-0.65,-0.65,-0.0228571428571429,-0,-0,-0,0,140
-0.7,-0.7,-0.0971428571428571,-0,-0,-0,0,141
-0.75,-0.75,-0.171428571428571,-0,-0,-0,0,142
-0.8,-0.8,-0.245714285714286,-0,-0,-0,0,143
-0.85,-0.85,-0.32,-0,-0,-0,0,144
-0.9,-0.9,-0.394285714285714,-0,-0,-0,0,145
-0.95,-0.95,-0.468571428571429,-0,-0,-0,0,146
-1,-1,-0.542857142857143,-0,-0,-0,0,147
-1.05,-1.05,-0.617142857142857,-0,-0,-0,0,148
-1.1,-1.1,-0.691428571428572,-0,-0,-0,0,149
-1.15,-1.15,-0.765714285714286,-0,-0,-0,0,150
-1.2,-1.2,-0.84,-0,-0,-0,0,151
-1.25,-1.25,-0.914285714285714,-0,-0,-0,0,152
-1.3,-1.3,-0.988571428571428,-0,-0,-0,0,153
-1.35,-1.35,-1.06285714285714,-0,-0,-0,0,154
-1.4,-1.4,-1.13714285714286,-0,-0,-0,0,155
-1.45,-1.45,-1.21142857142857,-0,-0,-0,0,156
-1.5,-1.5,-1.28571428571429,-0,-0,-0,0,157
-1.55,-1.55,-1.36,-0,-0,-0,0,158
-1.6,-1.6,-1.43428571428571,-0,-0,-0,0,159
-1.65,-1.65,-1.50857142857143,-0,-0,-0,0,160
-1.7,-1.7,-1.58285714285714,-0,-0,-0,0,161
-1.75,-1.75,-1.65714285714286,-0,-0,-0,0,162
-1.8,-1.8,-1.73142857142857,-0,-0,-0,0,163
-1.85,-1.85,-1.80571428571429,-0,-0,-0,0,164
-1.9,-1.9,-1.88,-0,-0,-0,0,165
-1.95,-1.95,-1.95428571428571,-0,-0,-0,0,166
-2,-2,-2.02857142857143,-0,-0,-0,0,167
-2.05,-2.05,-2.10285714285714,-0,-0,-0,0,168
-2.1,-2.1,-2.17714285714286,-0,-0,-0,0,169
-2.15,-2.15,-2.25142857142857,-0,-0,-0,0,170
-2.2,-2.2,-2.32571428571429,-0,-0,-0,0,171
-2.25,-2.25,-2.4,-0,-0,-0,0,172
-2.3,-2.3,-2.47428571428571,-0,-0,-0,0,173
-2.35,-2.35,-2.54857142857143,-0,-0,-0,0,174
-2.4,-2.4,-2.62285714285714,-0,-0,-0,0,175
-2.45,-2.45,-2.69714285714286,-0,-0,-0,0,176
-2.5,-2.5,-2.77142857142857,-0,-0,-0,0,177
-2.55,-2.55,-2.84571428571429,-0,-0,-0,0,178
-2.6,-2.6,-2.92,-0,-0,-0,0,179
-2.65,-2.65,-2.99428571428571,-0,-0,-0,0,180
-2.7,-2.7,-3.06857142857143,-0,-0,-0,0,181
-2.75,-2.75,-3.14285714285714,-0,-0,-0,0,182
-2.8,-2.8,-3.21714285714286,-0,-0,-0,0,183
-2.85,-2.85,-3.29142857142857,-0,-0,-0,0,184
-2.9,-2.9,-3.36571428571429,-0,-0,-0,0,185
-2.95,-2.95,-3.44,-0,-0,-0,0,186
-3,-3,-3.51428571428571,-0,-0,-0,0,187
-3.05,-3.05,-3.58857142857143,-0,-0,-0,0,188
-3.1,-3.1,-3.66285714285714,-0,-0,-0,0,189
-3.15,-3.15,-3.73714285714286,-0,-0,-0,0,190
-3.2,-3.2,-3.81142857142857,-0,-0,-0,0,191
-3.25,-3.25,-3.88571428571429,-0,-0,-0,0,192
-3.3,-3.3,-3.96,-0,-0,-0,0,193
-3.35,-3.35,-4.03428571428571,-0,-0,-0,0,194
-3.4,-3.4,-4.10857142857143,-0,-0,-0,0,195
-3.45,-3.45,-4.18285714285714,-0,-0,-0,0,196
-3.5,-3.5,-4.25714285714286,-0,-0,-0,0,197
-3.55,-3.55,-4.33142857142857,-0,-0,-0,0,198
-3.6,-3.6,-4.40571428571429,-0,-0,-0,0,199
-3.65,-3.65,-4.48,-0,-0,-0,0,200
-3.7,-3.7,-4.55428571428571,-0,-0,-0,0,201
-3.75,-3.75,-4.62857142857143,-0,-0,-0,0,202
